Object	RA	e_RA	Dec	e_Dec	Distance	e_Distance	FeH	e_FeH	Parallax	e_Parallax	Tspec	e_Tspec	logg	e_logg
1.60799772368816E+018	214.68706209758	3.08333333333333E-09	52.53538771161	3.55555555555556E-09	156.440201	0.350021499999997	0.3881	0	6.359	0.0143	5245.814	0	4.4708	0
1.60801095218741E+018	214.6838491035	1.96944444444444E-08	52.82611652511	2.02777777777778E-08	1575.45776	189.994935	-1.2275	0	0.5961	0.0855	4367.2998	0	4.38	0
1.60800981402077E+018	214.78065011268	9.53333333333333E-08	52.78237743057	1.03972222222222E-07	323.085114	50.197571	nan	0	3.2755	0.4255	nan	0	nan	0
1.60792120455175E+018	214.31222862463	6.72222222222222E-09	52.6652354221	6.33333333333333E-09	1616.26843	68.8438100000001	-0.7085	0	0.5951	0.0281	5657.4961	0	4.4425	0
1.6079995103949E+018	214.78611014912	1.16388888888889E-08	52.57939261487	1.24444444444444E-08	1609.29712	166.29901	-0.6688	0	0.5958	0.052	4978.8467	0	4.6898	0
1.6079193448295E+018	214.41340028338	2.94722222222222E-08	52.5525881452	0.0000000315	1024.61829	143.4364	-0.6533	0	0.97	0.1291	3874.8079	0	4.8353	0
1.60792433128794E+018	214.31249975101	0.0000000115	52.70511006739	1.09166666666667E-08	417.605408	7.33000200000001	-0.9417	0	2.3657	0.0489	3605.9878	0	4.4506	0
1.60792055171672E+018	214.33126043084	2.91666666666667E-09	52.61392194019	3.02777777777778E-09	435.549133	2.7260895	-0.4051	0	2.2815	0.0131	5901.6206	0	4.2998	0
1.60790759809536E+018	214.42540469936	1.20555555555556E-08	52.5432168725	1.35277777777778E-08	267.441223	4.99710100000002	-0.1446	0	3.711	0.0549	3517.4963	0	4.8327	0
1.60800019758933E+018	214.84828280109	0.0000000175	52.64855992456	1.79444444444444E-08	451.324402	12.727203	nan	0	2.1872	0.0769	nan	0	nan	0
1.60791941784536E+018	214.38066389859	0.00000000525	52.56206914789	5.80555555555556E-09	437.42572	3.84887700000002	0.3089	0	2.269	0.0236	4350.0669	0	4.6675	0
1.60801026069678E+018	214.76908921824	2.58333333333333E-09	52.80321568705	2.61111111111111E-09	270.553345	0.736282500000016	-0.1161	0	3.6754	0.0116	5688.1372	0	4.463	0
1.60801861011338E+018	214.34063351562	2.91388888888889E-08	52.77069678291	2.94166666666667E-08	816.455139	89.7783505	-0.4005	0	1.2273	0.1296	3651.7693	0	4.8501	0
1.60801091782769E+018	214.70974092527	4.89722222222222E-08	52.83065301596	4.88055555555556E-08	714.749695	101.4262085	nan	0	1.4027	0.2073	nan	0	nan	0
