B     B-V     U-B     V-I     V-K     Mv   CL Typ    Teff   logg  Pop  Age     Mass   Mbol    Radius   [M/H]    [a/Fe]  longitude   latitude   RAJ2000     DECJ2000   Dist     x_Gal    y_Gal    z_Gal     Av       errMv     errMass     errAge     errTeff    errLogg    errMet     errAlphaFe     errBand_B  errBand_U  errBand_V  errBand_I  errBand_K                                                                             
  22.319  1.684   1.447   2.936   5.536  13.87  5 7.45    3163.  5.10   5  4.0299  0.106   11.211    0.173  -0.151   0.066    96.600945   59.151611  215.160873   53.176296   0.2191  -8.0129   0.1116   0.2031   0.069    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0353     0.0152    -0.0057     0.0120    -0.0008
  21.286  1.652   1.307   2.788   5.270  13.12  5 7.40    3211.  5.17   3  1.7056  0.202   10.537    0.226  -0.188  -0.005    95.434235   59.937744  215.028107   52.195892   0.1938  -8.0092   0.0966   0.1827   0.071    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0055    -0.0153     0.0112     0.0098    -0.0004
  20.651  1.637   1.206   2.654   5.064  12.46  5 7.35    3344.  5.01   7  8.5055  0.346   10.232    0.249  -0.079   0.051    96.199997   60.179604  214.299011   52.267830   0.2002  -8.0108   0.0990   0.1887   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0187    -0.0085    -0.0252    -0.0258    -0.0141
  20.583  1.642   1.341   2.633   4.976  12.34  5 7.35    3271.  5.06   6  6.1385  0.137   10.234    0.249  -0.360  -0.002    95.587395   59.588680  215.317978   52.506462   0.2007  -8.0099   0.1011   0.1881   0.075    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0120     0.0107     0.0095    -0.0251    -0.0191
  20.203  1.513   1.209   2.575   4.908  12.01  5 7.35    3345.  4.95   7  8.4943  0.283    9.983    0.270   0.027   0.051    97.114700   59.822765  214.106354   52.835938   0.2103  -8.0131   0.1049   0.1968   0.069    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0112    -0.0003    -0.0042    -0.0130    -0.0063
  20.035  1.440   1.262   2.561   4.939  12.04  5 7.30    3288.  4.81   7  8.3694  0.118    9.921    0.276   0.292  -0.010    97.034012   60.140793  213.821335   52.565865   0.1973  -8.0120   0.0975   0.1861   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0099     0.0377     0.0068     0.0080    -0.0058
  19.914  1.462   1.204   2.545   4.913  11.89  5 7.30    3341.  4.94   5  3.9454  0.198    9.859    0.282   0.285  -0.049    96.433121   59.657242  214.716034   52.739071   0.1982  -8.0112   0.0995   0.1861   0.077    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0342     0.0166    -0.0035    -0.0071    -0.0035
  20.101  1.632   1.267   2.368   4.590  11.93  5 7.30    3397.  5.00   5  4.0636  0.127    9.801    0.287  -0.404   0.015    97.018967   59.405483  214.614731   53.123646   0.1972  -8.0123   0.0996   0.1847   0.074    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0069     0.0312    -0.0087     0.0131     0.0380
  19.874  1.531   1.153   2.386   4.674  11.62  5 7.30    3312.  4.91   3  1.5849  0.209    9.675    0.299  -0.057   0.027    96.985298   59.670841  214.351044   52.910248   0.2118  -8.0130   0.1062   0.1978   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0049    -0.0303     0.0200     0.0163    -0.0019
  19.472  1.422   1.251   2.402   4.653  11.42  5 7.30    3388.  4.98   6  6.0174  0.351    9.619    0.304  -0.001   0.000    96.786491   59.894894  214.237823   52.674603   0.2031  -8.0120   0.1012   0.1907   0.074    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0475     0.0212     0.0129    -0.0004    -0.0345
  19.384  1.463   1.101   2.318   4.536  11.31  5 7.25    3424.  4.94   4  2.4899  0.310    9.500    0.316   0.265  -0.004    96.494240   59.733578  214.595062   52.701588   0.2039  -8.0116   0.1021   0.1911   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0307    -0.0088    -0.0092     0.0101     0.0107
  19.409  1.508   1.182   2.211   4.472  11.14  5 7.25    3496.  4.90   4  2.3235  0.394    9.383    0.327  -0.005   0.033    95.993225   59.287407  215.398071   52.868378   0.2182  -8.0116   0.1109   0.2026   0.074    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0244     0.0176    -0.0126     0.0135    -0.0232
  18.296  1.502   1.193   2.071   4.145  10.26  5 7.15    3576.  4.67   5  4.0548  0.507    8.805    0.396  -0.043  -0.005    96.493057   59.573635  214.768875   52.822071   0.1965  -8.0113   0.0989   0.1844   0.070    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0157    -0.0085    -0.0007    -0.0014     0.0135
  18.246  1.527   1.205   2.025   4.063   9.99  5 7.15    3541.  4.84   6  5.8882  0.690    8.654    0.417  -0.382   0.009    96.778694   59.593563  214.565948   52.901417   0.2162  -8.0129   0.1086   0.2014   0.069    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0081    -0.0005    -0.0194    -0.0050    -0.0148
  18.214  1.511   1.185   2.012   4.077  10.02  5 7.15    3613.  4.86   5  4.1275  0.398    8.577    0.427  -0.357  -0.000    95.565559   59.839588  215.055588   52.312912   0.2081  -8.0101   0.1040   0.1949   0.074    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0206     0.0044     0.0134     0.0105    -0.0156
  16.907  1.402   1.283   1.756   3.569   8.80  5 7.05    3872.  4.81   3  1.5166  0.484    7.875    0.528   0.274  -0.013    97.682388   59.761547  213.805496   53.064999   0.2144  -8.0144   0.1070   0.2002   0.073    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0264    -0.0175    -0.0252     0.0054     0.0148
  16.482  1.350   1.186   1.507   3.268   8.57  5 6.90    3969.  4.75   6  6.0891  0.531    7.490    0.584  -0.262   0.030    96.827698   60.073830  214.021713   52.551231   0.1997  -8.0118   0.0989   0.1881   0.074    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0208    -0.0038    -0.0157     0.0079     0.0370
  15.953  1.219   1.266   1.389   3.196   8.06  5 6.70    4107.  4.60   5  4.0990  0.647    7.276    0.618   0.027  -0.014    96.455086   59.730846  214.622665   52.690735   0.2078  -8.0118   0.1041   0.1944   0.075    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0249     0.0115     0.0119     0.0088    -0.0169
  15.941  1.312   1.268   1.421   3.151   7.98  5 6.70    4093.  4.66   7  8.5834  0.575    7.276    0.618  -0.113   0.006    96.726715   60.312359  213.832870   52.336361   0.2082  -8.0121   0.1024   0.1959   0.069    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0064     0.0136    -0.0187     0.0124     0.0144
  12.703  0.738   0.271   0.811   1.810   5.40  5 5.60    5489.  4.39   7  8.4734  1.012    5.028    0.972   0.125  -0.028    95.811234   59.834965  214.910080   52.398693   0.1984  -8.0101   0.0992   0.1866   0.068    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0010    -0.0154     0.0091     0.0086     0.0076
  21.620  1.827   1.310   2.434   4.694  13.19  5 7.35    3248.  5.07   8 10.0013  0.137   10.905    0.181  -0.546   0.294    95.353966   59.816795  215.209457   52.258427   0.2037  -8.0096   0.1020   0.1911   0.075    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0253    -0.0100    -0.0163     0.0141    -0.0216
