#Object	RA	e_RA	Dec	e_Dec	Distance	e_Distance	FeH	e_FeH	Parallax	e_Parallax	Teff_J-PLUS_W	e_Teff_J-PLUS_W	Teff_J-PLUS_Y	e_Teff_J-PLUS_Y	Teff_LAMOST	e_Teff_LAMOST	Tspec	e_Tspec	logg	e_logg
1607982532388113792	215.423508	5e-08	52.83519997	5.1361111111111113e-08	824.683655	136.9241025	nan	0	1.1585	0.2137	nan	nan	83619.8906	0	nan	nan	nan	0	nan	0
1607985972657663616	215.379307	1.05e-08	52.90645618	1.0944444444444444e-08	1316.61694	66.44616499999995	-0.9213	0	0.7303	0.0449	5055.173348	0	4999.3228	0	nan	nan	4788.8486	0	4.3936	0
1608040157965054976	215.280549	2.4722222222222223e-09	53.00831175	2.6944444444444447e-09	555.569519	4.053069999999991	-0.5182	0	1.7817	0.0109	6337.293183	0	6277.9341	0	nan	nan	6251.6309	0	4.2824	0
1607986178816078464	215.367821	6.4722222222222226e-09	52.92517767	6.777777777777778e-09	1421.14087	62.49908499999992	-0.8236	0	0.6731	0.0282	5459.168293	0	5388.0625	0	5497.33	0	5202.9536	0	4.3865	0
1608038951078782848	215.0960439	7.005555555555555e-08	53.11677749	7.069444444444444e-08	494.53894	70.57034300000001	nan	0	2.0344	0.3025	nan	nan	97951.5938	0	nan	nan	nan	0	nan	0
1607889348778258048	213.9088534	4.1249999999999995e-08	52.32840041	4.030555555555556e-08	1001.64252	155.04315000000003	nan	0	0.9634	0.1773	nan	nan	nan	nan	nan	nan	nan	0	nan	0
1608103169429604224	213.7299831	2.9916666666666667e-08	52.51659961	3.141666666666667e-08	965.098083	116.95822300000003	-1.2348	0	1.0223	0.1322	nan	nan	nan	nan	nan	nan	3476.605	0	4.4311	0
1607982639763370752	215.4272767	5.527777777777778e-09	52.85182142	5.9444444444444445e-09	620.793762	8.863555500000018	-0.6908	0	1.5869	0.0247	4969.889794	0	nan	nan	nan	nan	4765.0474	0	4.5153	0
1607982536683826304	215.4369133	2.722222222222222e-09	52.83291614	2.9722222222222222e-09	534.365417	2.7083129999999755	-0.2244	0	1.8505	0.012	5759.114809	0	5680.605	0	5655.52	0	5622.3481	0	4.3157	0
1608044830889447424	215.0874327	5.3888888888888894e-09	53.12672828	5.472222222222222e-09	1646.72839	69.50403000000006	-0.6612	0	0.582	0.0234	5979.210193	0	5872.5439	0	nan	nan	5890.7061	0	4.4291	0
1607889245699041792	213.9151981	5.122222222222222e-08	52.31668711	4.841666666666667e-08	730.624634	127.89416500000004	nan	0	1.383	0.2121	nan	nan	99027.1562	0	nan	nan	nan	0	nan	0
1608039844431502080	215.0295202	4.972222222222222e-09	53.15272599	4.861111111111111e-09	945.58429	17.629608500000018	-0.3334	0	1.0297	0.0206	5443.921758	0	5404.7422	0	5425.87	0	5338.8652	0	4.4657	0
1608044826594046080	215.1100083	1.5305555555555558e-08	53.12202093	1.5694444444444445e-08	995.110107	64.98962350000005	0.0088	0	0.9701	0.0675	3969.253058	0	4221.752	0	nan	nan	4149.7002	0	4.5063	0
1607982875985521280	215.4213213	2.7722222222222223e-08	52.87547552	2.9944444444444443e-08	677.907043	62.085571500000015	-0.4214	0	1.4549	0.1171	4329.219105	0	5879.2964	0	nan	nan	3595.0669	0	4.8666	0
1607890418226160512	213.8290983	2.8805555555555557e-08	52.3716022	2.6833333333333335e-08	375.158203	19.452056999999996	nan	0	2.6052	0.1239	nan	nan	nan	nan	nan	nan	nan	0	nan	0
1607885706645982976	214.0311435	7.102777777777778e-08	52.24061799	6.572222222222223e-08	623.749939	122.1478275	nan	0	1.6891	0.2883	nan	nan	nan	nan	nan	nan	nan	0	nan	0
1607991843877267200	215.3921789	3.4666666666666666e-08	52.92884359	3.494444444444444e-08	648.790161	66.63510100000002	-0.362	0	1.5134	0.1508	4453.22124	0	6162.8828	0	nan	nan	3495.9524	0	4.8491	0
1608041635433792128	215.1682858	1.9444444444444445e-08	53.10127666	1.933333333333333e-08	495.563141	20.11808750000003	-0.6413	0	2.0104	0.0816	4279.18542	0	6484.8921	0	nan	nan	3594.9011	0	4.5516	0
1607890418226160384	213.8336483	1.4027777777777778e-08	52.36372501	1.3388888888888889e-08	707.590759	31.56497200000001	-0.001	0	1.3909	0.06	4259.930438	0	4227.5479	0	4351.92	0	4290.0938	0	4.4936	0
1608052493111087744	214.8584612	1.5833333333333333e-08	53.20575965	1.55e-08	766.007874	42.411834999999996	-0.6716	0	1.2837	0.0659	3908.319596	0	4389.2109	0	nan	nan	3965.2725	0	4.7875	0
1608079602945516160	213.73692	4.222222222222222e-09	52.46757417	4.694444444444444e-09	1311.11011	30.632630000000063	-0.5023	0	0.7368	0.0199	5970.619777	0	5857.5176	0	5842.3	0	5894.7046	0	4.3602	0
1608052076498877824	214.9011	3.441666666666667e-08	53.19885981	3.477777777777778e-08	1215.93201	316.51367000000005	-0.673	0	0.8753	0.1466	nan	nan	4009.7832	0	nan	nan	3858.3826	0	4.8471	0
1607885745301756416	214.0022775	9.361111111111111e-09	52.25026754	9.166666666666668e-09	1111.90222	45.166324999999915	nan	0	0.868	0.0398	5023.131164	0	4918.2939	0	nan	nan	nan	0	nan	0
1607884886308297472	214.0726249	7.472222222222222e-09	52.21789356	7.222222222222222e-09	1307.35437	60.94085999999993	-0.6456	0	0.7455	0.0318	5521.04406	0	5411.7681	0	nan	nan	5317.2144	0	4.6066	0
1608052076498877952	214.9039435	4.3138888888888886e-08	53.1994808	4.3694444444444444e-08	1027.00598	161.78713999999997	nan	0	0.9666	0.1822	nan	nan	81386.9922	0	nan	nan	nan	0	nan	0
1608040570281902848	215.2669606	4.666666666666666e-09	53.04806178	5.138888888888889e-09	1096.12073	20.777649999999994	-0.6457	0	0.8883	0.0204	5816.803834	0	5709.3286	0	5649.48	0	5650.4595	0	4.4773	0
1608040570281902976	215.2578	2.8888888888888886e-09	53.05457532	3.1944444444444442e-09	314.036011	1.180557499999992	0.2956	0	3.1597	0.0128	4500.654119	0	nan	nan	nan	nan	4568.6147	0	4.5833	0
1607884886308297344	214.0594486	1.688888888888889e-08	52.22229672	1.561111111111111e-08	883.115295	53.95980850000001	-0.4787	0	1.0981	0.0687	3967.540371	0	3966.2908	0	nan	nan	3873.2253	0	4.7755	0
1608041562418890624	215.1798886	7.45e-08	53.10131377	6.872222222222223e-08	663.023804	133.3344115	nan	0	1.6043	0.2975	nan	nan	nan	nan	nan	nan	nan	0	nan	0
1607889967253813888	213.8349885	5.263888888888889e-08	52.35251442	5.1194444444444445e-08	453.189453	40.756103499999995	nan	0	2.2708	0.2231	nan	nan	nan	nan	nan	nan	nan	0	nan	0
1608079671664993024	213.7105343	1.9972222222222223e-08	52.49252429	2.122222222222222e-08	651.799561	33.578888000000006	-0.2722	0	1.501	0.0903	4024.118523	0	4792.8271	0	nan	nan	3810.2344	0	4.7454	0
1607895052494005120	214.2758568	1.411111111111111e-08	52.14944715	1.3472222222222223e-08	884.206299	51.3815305	-0.741	0	1.108	0.059	3846.732696	0	4691.7061	0	nan	nan	3649.3845	0	4.3119	0
1607993286986436608	215.3294512	3.9499999999999996e-08	53.01397162	4.222222222222222e-08	206.84198	8.4848025	nan	0	4.8137	0.1698	nan	nan	nan	nan	nan	nan	nan	0	nan	0
1608045655523168512	215.0640366	6.25e-09	53.16176371	6.1388888888888895e-09	1021.43622	25.36090200000001	-0.2581	0	0.9526	0.0263	4526.494091	0	nan	nan	nan	nan	4408.1475	0	4.2495	0
1608079499866300544	213.724493	1.525e-08	52.45590443	1.7305555555555556e-08	2080.24023	304.03717000000006	-0.6787	0	0.427	0.0702	5299.342558	0	5278.0059	0	nan	nan	5098.2827	0	4.7057	0
1608082622310525824	213.6995779	6.427777777777777e-08	52.49224467	6.91388888888889e-08	346.425415	40.363174500000014	nan	0	2.9414	0.2894	nan	nan	nan	nan	nan	nan	nan	0	nan	0
